n_vars,group,target,index,cov,fraction,coef,std_err,t,p,mse
1,baseline,fev1,asian,Baseline,0.0,-658.64,49.74,-13.24,4.691482872883591e-39,202871.8
1,anthropometrics,fev1,asian,Height,38.88011660391109,-402.56,43.85,-9.18,7.389646240530464e-20,152480.13
2,anthropometrics,fev1,asian,Waist Circumference,33.89408478076036,-435.4,43.5,-10.01,2.960200812085665e-23,148880.47
3,anthropometrics,fev1,asian,BMI,36.415948014089636,-418.79,43.44,-9.64,1.030674496107187e-21,147650.37
4,anthropometrics,fev1,asian,Arm Circumference,36.94582776630632,-415.3,43.42,-9.57,2.097458236404221e-21,147250.9
5,anthropometrics,fev1,asian,Sit Height,36.78033523624438,-416.39,43.79,-9.51,3.555884519367279e-21,147984.16
6,anthropometrics,fev1,asian,Weight,37.62905380784647,-410.8,43.79,-9.38,1.1750545879652062e-20,147663.68
7,anthropometrics,fev1,asian,Arm Length,36.53437386128993,-418.01,43.84,-9.54,2.7844406170470574e-21,148115.98
1,exposures,fev1,asian,Smoke Exposure,-0.4099356249240929,-661.34,49.81,-13.28,3.008579989366446e-39,202809.98
1,sociodemographics,fev1,asian,Immigrant,19.150066804324062,-532.51,53.24,-10.0,3.1584703690708755e-23,200427.84
2,sociodemographics,fev1,asian,Income:Poverty,19.944127292602943,-527.28,53.03,-9.94,5.658170561867802e-23,198743.98
3,sociodemographics,fev1,asian,High School Graduate,18.756832260415397,-535.1,53.03,-10.09,1.3309365746318383e-23,198206.09
4,sociodemographics,fev1,asian,Household Size,18.9557269525082,-533.79,53.05,-10.06,1.7399395742789746e-23,197748.51
5,sociodemographics,fev1,asian,Married,19.031640957123773,-533.29,52.96,-10.07,1.6140250117215947e-23,197389.34
6,sociodemographics,fev1,asian,Veteran,18.99216567472368,-533.55,52.93,-10.08,1.455266664594106e-23,197108.79
7,sociodemographics,fev1,asian,Private Insurance,19.572148669986635,-529.73,52.95,-10.0,3.1052598710153695e-23,196920.81
8,sociodemographics,fev1,asian,Military Health,19.351998056601488,-531.18,52.95,-10.03,2.365710747574757e-23,196784.85
9,sociodemographics,fev1,asian,English Language,19.26545609133973,-531.75,52.96,-10.04,2.1447416058442795e-23,196731.09
10,sociodemographics,fev1,asian,Health Insurance,19.473460463986395,-530.38,52.98,-10.01,2.900235747718899e-23,196686.34
1,baseline,fvc,asian,Baseline,0.0,-860.08,65.27,-13.18,1.068031849077217e-38,349363.26
1,anthropometrics,fvc,asian,Height,41.79960003720585,-500.57,56.21,-8.91,8.525913347788184e-19,250491.3
2,anthropometrics,fvc,asian,Waist Circumference,35.93968002976467,-550.97,55.44,-9.94,5.87399634356572e-23,241778.67
3,anthropometrics,fvc,asian,BMI,38.25225560412985,-531.08,55.42,-9.58,1.7801746771941924e-21,240316.11
4,anthropometrics,fvc,asian,Arm Circumference,38.92893684308437,-525.26,55.36,-9.49,4.320225740699022e-21,239392.66
5,anthropometrics,fvc,asian,Arm Length,37.125616221746824,-540.77,55.53,-9.74,4.0798816479313223e-22,241354.34
6,anthropometrics,fvc,asian,Weight,38.499906985396706,-528.95,55.56,-9.52,3.2016234001071114e-21,240673.38
7,anthropometrics,fvc,asian,Sit Height,37.52209096828202,-537.36,56.01,-9.59,1.6048463055625724e-21,241375.88
1,exposures,fvc,asian,Smoke Exposure,-0.5673890800855729,-864.96,65.35,-13.24,5.1657646151533374e-39,349160.55
1,sociodemographics,fvc,asian,Income:Poverty,2.460236257092373,-838.92,65.02,-12.9,3.327103113743632e-37,345616.84
2,sociodemographics,fvc,asian,Immigrant,17.39489349827923,-710.47,69.68,-10.2,4.593726563600763e-24,343041.27
3,sociodemographics,fvc,asian,High School Graduate,15.97990884568878,-722.64,69.64,-10.38,7.47201457500556e-25,341736.06
4,sociodemographics,fvc,asian,Household Size,16.195005115803188,-720.79,69.65,-10.35,9.967033784565614e-25,340905.4
5,sociodemographics,fvc,asian,Married,16.239187052367228,-720.41,69.56,-10.36,9.234104498647942e-25,340575.6
6,sociodemographics,fvc,asian,Veteran,16.20081852850898,-720.74,69.53,-10.37,8.334921672702401e-25,340117.72
7,sociodemographics,fvc,asian,Military Health,16.039205655287883,-722.13,69.51,-10.39,6.677095748480814e-25,339844.13
8,sociodemographics,fvc,asian,Private Insurance,16.5089294019161,-718.09,69.57,-10.32,1.3053544363109589e-24,339653.4
9,sociodemographics,fvc,asian,Health Insurance,16.885638545251606,-714.85,69.58,-10.27,2.1296146352245372e-24,339395.0
10,sociodemographics,fvc,asian,English Language,16.74495395777138,-716.06,69.58,-10.29,1.775645440969766e-24,339197.9
1,baseline,fev1,black,Baseline,0.0,-488.94,20.85,-23.45,1.1100851731430418e-112,202871.8
1,anthropometrics,fev1,black,Height,0.7158342536916595,-485.44,18.1,-26.82,1.2054729254254506e-143,152480.13
2,anthropometrics,fev1,black,Waist Circumference,2.9533276066593035,-474.5,17.98,-26.39,1.3369624700542884e-139,148880.47
3,anthropometrics,fev1,black,BMI,1.2271444348999878,-482.94,18.05,-26.75,4.939292813910056e-143,147650.37
4,anthropometrics,fev1,black,Arm Circumference,2.4645150734241446,-476.89,18.06,-26.41,1.0053164944114187e-139,147250.9
5,anthropometrics,fev1,black,Sit Height,3.2867018448071326,-472.87,18.29,-25.85,1.6937032726693982e-134,147984.16
6,anthropometrics,fev1,black,Weight,1.5482472286988165,-481.37,18.19,-26.46,3.0203033783532036e-140,147663.68
7,anthropometrics,fev1,black,Arm Length,2.0534216877326505,-478.9,18.48,-25.91,5.218648472287811e-135,148115.98
1,exposures,fev1,black,Smoke Exposure,0.3313289974229976,-487.32,20.92,-23.3,2.1365489818257392e-111,202809.98
1,sociodemographics,fev1,black,Immigrant,2.3397553892093095,-477.5,20.81,-22.95,2.4033339010641725e-108,200427.84
2,sociodemographics,fev1,black,Income:Poverty,4.436127132163455,-467.25,20.81,-22.45,4.3714527340897564e-104,198743.98
3,sociodemographics,fev1,black,High School Graduate,5.628502474741273,-461.42,20.88,-22.1,3.9036575505407455e-101,198206.09
4,sociodemographics,fev1,black,Household Size,6.379105820755103,-457.75,20.93,-21.87,3.2807566474088444e-99,197748.51
5,sociodemographics,fev1,black,Married,8.193234343682251,-448.88,21.15,-21.22,7.500173755565587e-94,197389.34
6,sociodemographics,fev1,black,Veteran,8.076655622366754,-449.45,21.14,-21.26,3.747169025294312e-94,197108.79
7,sociodemographics,fev1,black,Private Insurance,8.401848897615245,-447.86,21.16,-21.17,1.9252280033625035e-93,196920.81
8,sociodemographics,fev1,black,Military Health,8.54910622980325,-447.14,21.16,-21.14,3.6930718230117155e-93,196784.85
9,sociodemographics,fev1,black,English Language,8.888616190125575,-445.48,21.23,-20.99,6.090917333240524e-92,196731.09
10,sociodemographics,fev1,black,Health Insurance,9.150407002904243,-444.2,21.28,-20.87,4.784141207682743e-91,196686.34
1,baseline,fvc,black,Baseline,0.0,-685.01,27.37,-25.03,6.726799176656637e-127,349363.26
